	shape	carat	color	clarity	cut	depth	table	lab	price	url	img_url	cert_url	vid_url	date
91	round	1.54	H	SI1	Signature Ideal	62.0%	60%	GIA	$10295	https://www.yadavjewelry.com/diamond/round-diamond-1.54-carat-H-SI1-yd2046645	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/7273679002.pdf	http://www.yadavjewelry.com/diamonds/videos/2046645	03/20/18 23:46:11
92	round	1.50	G	SI1	Signature Ideal	62.4%	57%	GIA	$10325	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2099147	https://yadav-gemstone-graphics.s3.amazonaws.com/2099147_1.jpg	https://yadav-certs.s3.amazonaws.com/1287018910.pdf	http://www.yadavjewelry.com/diamonds/videos/2099147	03/20/18 23:46:12
93	round	1.51	G	SI1	Signature Ideal	62.4%	60%	GIA	$10329	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-G-SI1-yd2122640	https://yadav-gemstone-graphics.s3.amazonaws.com/2122640_1.jpg	https://yadav-certs.s3.amazonaws.com/6285310740.pdf		03/20/18 23:46:12
94	round	1.50	G	SI1	Signature Ideal	60.8%	59%	GIA	$10337	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-G-SI1-yd2080353	https://yadav-gemstone-graphics.s3.amazonaws.com/2080353_1.jpg	https://yadav-certs.s3.amazonaws.com/2195025659.pdf	http://www.yadavjewelry.com/diamonds/videos/2080353	03/20/18 23:46:13
95	round	1.51	H	VS2	Signature Ideal	61.2%	60%	GIA	$10356	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-VS2-yd2090662	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2266192995.pdf		03/20/18 23:46:14
96	round	1.54	G	SI1	Signature Ideal	62.8%	57%	GIA	$10369	https://www.yadavjewelry.com/diamond/round-diamond-1.54-carat-G-SI1-yd2098618	https://yadav-gemstone-graphics.s3.amazonaws.com/2098618_1.jpg	https://yadav-certs.s3.amazonaws.com/2274615272.pdf	https://yadav-videos.s3.amazonaws.com/2274615272.mp4	03/20/18 23:46:15
97	round	1.50	H	VS2	Signature Ideal	62.1%	58%	GIA	$10370	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2143372	https://yadav-gemstone-graphics.s3.amazonaws.com/2143372_1.jpg	https://yadav-certs.s3.amazonaws.com/7281376993.jpg	http://www.yadavjewelry.com/diamonds/videos/2143372	03/20/18 23:46:15
98	round	1.52	G	SI1	Signature Ideal	62.8%	57%	GIA	$10377	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-G-SI1-yd1992887	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6265884270.pdf		03/20/18 23:46:16
99	round	1.52	G	SI1	Signature Ideal	59.9%	59%	GIA	$10381	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-G-SI1-yd2122643	https://yadav-gemstone-graphics.s3.amazonaws.com/2122643_1.jpg	https://yadav-certs.s3.amazonaws.com/1283303502.pdf		03/20/18 23:46:17
100	round	1.53	G	SI1	Signature Ideal	59.2%	60%	GIA	$10384	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-G-SI1-yd2108262	https://yadav-gemstone-graphics.s3.amazonaws.com/2108262_1.jpg	https://yadav-certs.s3.amazonaws.com/7281295448.jpg	http://www.yadavjewelry.com/diamonds/videos/2108262	03/20/18 23:46:18
101	round	1.52	G	SI1	Signature Ideal	62.6%	57%	GIA	$10392	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-G-SI1-yd2058098	https://yadav-gemstone-graphics.s3.amazonaws.com/2058098_1.jpg	https://yadav-certs.s3.amazonaws.com/1182901393.pdf	http://www.yadavjewelry.com/diamonds/videos/2058098	03/20/18 23:46:19
102	round	1.52	G	SI1	Signature Ideal	62.9%	59%	GIA	$10397	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-G-SI1-yd2033423	https://yadav-gemstone-graphics.s3.amazonaws.com/2033423_1.jpg	https://yadav-certs.s3.amazonaws.com/2286064188.pdf	https://yadav-videos.s3.amazonaws.com/2286064188.mp4	03/20/18 23:46:20
103	round	1.51	H	VS2	Signature Ideal	62.2%	59%	GIA	$10404	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-VS2-yd2169206	https://yadav-gemstone-graphics.s3.amazonaws.com/2169206_1.jpg	https://yadav-certs.s3.amazonaws.com/2195146953.jpg	http://www.yadavjewelry.com/diamonds/videos/2169206	03/20/18 23:46:20
104	round	1.54	H	SI1	Signature Ideal	61.4%	58%	GIA	$10419	https://www.yadavjewelry.com/diamond/round-diamond-1.54-carat-H-SI1-yd1100116	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2186357085.pdf		03/20/18 23:46:21
105	round	1.50	H	SI1	Signature Ideal	63.0%	55%	GIA	$10424	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2141823	https://yadav-gemstone-graphics.s3.amazonaws.com/2141823_1.jpg	https://yadav-certs.s3.amazonaws.com/7271829695.pdf		03/20/18 23:46:22
106	round	1.52	G	SI1	Signature Ideal	62.4%	56%	GIA	$10441	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-G-SI1-yd2106874	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6251846140.pdf		03/20/18 23:46:23
107	round	1.50	H	SI1	Signature Ideal	62.7%	57%	GIA	$10448	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2132931	https://yadav-gemstone-graphics.s3.amazonaws.com/2132931_1.jpg	https://yadav-certs.s3.amazonaws.com/5191179880.jpg		03/20/18 23:46:24
108	round	1.56	H	SI1	Signature Ideal	62.3%	57%	GIA	$10456	https://www.yadavjewelry.com/diamond/round-diamond-1.56-carat-H-SI1-yd2169493	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6252387232.jpg	http://www.yadavjewelry.com/diamonds/videos/2169493	03/20/18 23:46:24
109	round	1.50	H	VS2	Signature Ideal	61.4%	59%	GIA	$10481	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-VS2-yd2042359	https://yadav-gemstone-graphics.s3.amazonaws.com/2042359_1.jpg	https://yadav-certs.s3.amazonaws.com/5192032292.jpg	http://www.yadavjewelry.com/diamonds/videos/2042359	03/20/18 23:46:25
110	round	1.51	G	SI1	Signature Ideal	62.8%	56%	GIA	$10489	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-G-SI1-yd1965674	https://yadav-gemstone-graphics.s3.amazonaws.com/1965674_1.jpg	https://yadav-certs.s3.amazonaws.com/6275651099.pdf		03/20/18 23:46:26
111	round	1.51	H	VS2	Signature Ideal	60.4%	59%	GIA	$10506	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-VS2-yd2081215	https://yadav-gemstone-graphics.s3.amazonaws.com/2081215_1.jpg	https://yadav-certs.s3.amazonaws.com/5192084655.pdf	http://www.yadavjewelry.com/diamonds/videos/2081215	03/20/18 23:46:27
